data,fechamento
2020-06-01,15.87
2020-06-02,16.47
2020-06-03,17.21
2020-06-04,17.28
2020-06-05,17.68
2020-06-08,18.53
2020-06-09,18.34
2020-06-10,17.6
2020-06-12,17.2
2020-06-15,16.9
2020-06-16,17.46
2020-06-17,17.69
2020-06-18,17.68
2020-06-19,17.28
2020-06-22,16.98
2020-06-23,16.99
2020-06-24,16.62
2020-06-25,16.97
2020-06-26,16.5
2020-06-29,16.91
2020-06-30,16.39
2020-07-01,16.67
2020-07-02,16.81
2020-07-03,16.81
2020-07-06,17.94
2020-07-07,17.2
2020-07-08,17.79
2020-07-09,17.57
2020-07-10,17.7
2020-07-13,17.34
2020-07-14,17.58
2020-07-15,17.95
2020-07-16,17.65
2020-07-17,17.99
2020-07-20,18.22
2020-07-21,18.52
2020-07-22,18.29
2020-07-23,18.07
2020-07-24,17.93
2020-07-27,18.67
2020-07-28,18.54
2020-07-29,19.09
2020-07-30,18.61
2020-07-31,17.94
2020-08-03,17.87
2020-08-04,17.34
2020-08-05,17.44
2020-08-06,17.69
2020-08-07,17.57
2020-08-10,17.72
2020-08-11,17.5
2020-08-12,17.41
2020-08-13,16.9
2020-08-14,17.04
2020-08-17,16.59
2020-08-18,16.82
2020-08-19,16.76
2020-08-20,16.65
2020-08-21,16.72
2020-08-24,16.98
2020-08-25,16.98
2020-08-26,16.59
2020-08-27,16.94
2020-08-28,17.26
2020-08-31,16.48
2020-09-01,16.99
2020-09-02,16.99
2020-09-03,17.64
2020-09-04,17.61
2020-09-08,17.28
2020-09-09,17.32
2020-09-10,16.74
2020-09-11,16.36
2020-09-14,16.61
2020-09-15,16.4
2020-09-16,16.5
2020-09-17,16.57
2020-09-18,16.27
2020-09-21,15.98
2020-09-22,16.15
2020-09-23,15.72
2020-09-24,15.98
2020-09-25,15.94
2020-09-28,15.79
2020-09-29,15.51
2020-09-30,15.62
2020-10-01,15.65
2020-10-02,15.72
2020-10-05,16.07
2020-10-06,15.97
2020-10-07,15.77
2020-10-08,16.66
2020-10-09,16.62
2020-10-13,16.63
2020-10-14,16.67
2020-10-15,16.63
2020-10-16,16.19
2020-10-19,16.39
2020-10-20,17.0
2020-10-21,17.15
2020-10-22,17.74
2020-10-23,17.7
2020-10-26,17.9
2020-10-27,17.44
2020-10-28,16.39
2020-10-29,16.26
2020-10-30,15.77
2020-11-03,16.16
2020-11-04,16.17
2020-11-05,16.48
2020-11-06,16.5
2020-11-09,18.0
2020-11-10,19.01
2020-11-11,19.05
2020-11-12,18.38
2020-11-13,18.88
2020-11-16,19.71
2020-11-17,19.82
2020-11-18,19.36
2020-11-19,19.36
2020-11-20,19.18
2020-11-23,19.22
2020-11-24,19.92
2020-11-25,19.6
2020-11-26,19.26
2020-11-27,19.12
2020-11-30,18.8
2020-12-01,19.8
2020-12-02,19.98
2020-12-03,19.84
2020-12-04,19.95
2020-12-07,20.02
2020-12-08,19.8
2020-12-09,19.76
2020-12-10,20.62
2020-12-11,20.59
2020-12-14,20.63
2020-12-15,20.75
2020-12-16,21.23
2020-12-17,21.5
2020-12-18,21.34
2020-12-21,20.82
2020-12-22,21.15
2020-12-23,21.6
2020-12-28,21.78
2020-12-29,21.78
2020-12-30,21.35
2021-01-04,20.83
2021-01-05,20.73
2021-01-06,21.17
2021-01-07,21.77
2021-01-08,21.6
2021-01-11,21.27
2021-01-12,21.28
2021-01-13,20.88
2021-01-14,21.55
2021-01-15,20.75
2021-01-18,20.84
2021-01-19,20.45
2021-01-20,20.05
2021-01-21,19.68
2021-01-22,19.36
2021-01-26,18.94
2021-01-27,19.1
2021-01-28,19.69
2021-01-29,19.11
2021-02-01,19.52
2021-02-02,19.48
2021-02-03,19.6
2021-02-04,20.2
2021-02-05,20.07
2021-02-08,19.71
2021-02-09,19.89
2021-02-10,19.7
2021-02-11,19.75
2021-02-12,19.8
2021-02-17,19.59
2021-02-18,19.33
2021-02-19,19.26
2021-02-22,18.16
2021-02-23,18.99
2021-02-24,18.87
2021-02-25,18.39
2021-02-26,18.21
2021-03-01,17.62
2021-03-02,17.93
2021-03-03,18.29
2021-03-04,18.9
2021-03-05,19.94
2021-03-08,19.17
2021-03-09,19.19
2021-03-10,19.49
2021-03-11,19.88
2021-03-12,19.59
2021-03-15,19.79
2021-03-16,19.43
2021-03-17,20.12
2021-03-18,20.5
2021-03-19,20.63
2021-03-22,20.54
2021-03-23,20.34
2021-03-24,20.02
2021-03-25,20.42
2021-03-26,20.59
2021-03-29,20.74
2021-03-30,21.23
2021-03-31,20.81
2021-04-01,20.1
2021-04-05,20.34
2021-04-06,19.94
2021-04-07,19.8
2021-04-08,19.78
2021-04-09,19.63
2021-04-12,20.05
2021-04-13,19.94
2021-04-14,20.13
2021-04-15,20.2
2021-04-16,20.48
2021-04-19,20.23
2021-04-20,19.93
2021-04-22,19.76
2021-04-23,20.15
2021-04-26,20.15
2021-04-27,19.98
2021-04-28,20.93
2021-04-29,20.22
2021-04-30,20.15
2021-05-03,20.73
2021-05-04,20.09
2021-05-05,20.23
2021-05-06,20.29
2021-05-07,20.47
2021-05-10,20.94
2021-05-11,20.9
2021-05-12,20.45
2021-05-13,21.08
2021-05-14,21.21
2021-05-17,21.24
2021-05-18,21.47
2021-05-19,21.59
2021-05-20,21.83
2021-05-21,21.89
2021-05-24,21.97
2021-05-25,21.75
2021-05-26,22.27
2021-05-27,22.34
2021-05-28,22.3
2021-05-31,22.3
2021-06-01,22.7
2021-06-02,23.38
2021-06-04,23.5
2021-06-07,23.83
2021-06-08,23.73
2021-06-09,23.4
2021-06-10,23.57
2021-06-11,23.27
2021-06-14,23.28
2021-06-15,23.24
2021-06-16,23.29
2021-06-17,23.16
2021-06-18,22.83
2021-06-21,22.82
2021-06-22,22.55
2021-06-23,22.51
2021-06-24,22.51
2021-06-25,21.93
2021-06-28,21.77
2021-06-29,21.58
2021-06-30,21.34
